id,contrast,homogeneity,energy,label
1,41.18783701,0.769199186,0.660999967,Thalassia Hemprichii
2,32.60269608,0.771387903,0.643995957,Thalassia Hemprichii
3,29.33939951,0.737669621,0.636488367,Enhalus Acoroides
4,35.86522672,0.70970915,0.52336745,Halophila Ovalis
5,32.5145527,0.76360172,0.620216231,Thalassia Hemprichii
6,22.45899203,0.795159648,0.68784754,Thalassia Hemprichii
7,28.63045343,0.737245592,0.622066646,Enhalus Acoroides
8,17.8024663,0.75276962,0.619027452,Enhalus Acoroides
9,50.52689951,0.706318822,0.517254538,Halophila Ovalis
10,18.58506434,0.750808863,0.626422578,Enhalus Acoroides
11,28.64825368,0.790558993,0.66743951,Thalassia Hemprichii
12,22.87553615,0.720870076,0.508413595,Halophila Ovalis
13,27.5705576,0.786609723,0.678072911,Thalassia Hemprichii
14,17.1254902,0.737501076,0.540511076,Halophila Ovalis
15,34.51884191,0.737383005,0.609782635,Enhalus Acoroides
16,25.36991422,0.798566683,0.700767802,Thalassia Hemprichii
17,36.75214461,0.765963206,0.643053212,Thalassia Hemprichii
18,20.67196691,0.789105105,0.66168782,Thalassia Hemprichii
19,38.35272672,0.73206473,0.62246734,Enhalus Acoroides
20,56.14307598,0.728872275,0.611920881,Enhalus Acoroides
21,27.1910386,0.710426061,0.486361438,Halophila Ovalis
22,23.80974265,0.7408749,0.615768044,Enhalus Acoroides
23,36.42273284,0.766730545,0.643072547,Thalassia Hemprichii
24,26.37945772,0.792229088,0.686229985,Thalassia Hemprichii
25,28.98553922,0.743575258,0.620975378,Enhalus Acoroides
26,32.11662071,0.711854344,0.512014181,Halophila Ovalis
27,22.68895527,0.786432209,0.664911395,Thalassia Hemprichii
28,51.32428002,0.763119548,0.634803828,Thalassia Hemprichii
29,44.92009804,0.728707408,0.622358119,Enhalus Acoroides
30,20.6018076,0.801247811,0.693835802,Thalassia Hemprichii
31,50.52689951,0.706318822,0.517254538,Halophila Ovalis
32,39.52270221,0.728971432,0.615630799,Enhalus Acoroides
33,50.52689951,0.706318822,0.517254538,Halophila Ovalis
34,33.26796875,0.709727843,0.488155732,Halophila Ovalis
35,31.73431373,0.786023986,0.669368852,Thalassia Hemprichii
36,40.58060662,0.731339986,0.629703166,Enhalus Acoroides
37,15.91639093,0.74903957,0.521659606,Halophila Ovalis
38,19.83831189,0.71957994,0.511885142,Halophila Ovalis
39,18.73702512,0.751141816,0.562511528,Halophila Ovalis
40,50.52689951,0.706318822,0.517254538,Halophila Ovalis
41,19.86109069,0.73879902,0.571796783,Halophila Ovalis
42,23.09627757,0.717234269,0.510853264,Halophila Ovalis
43,51.32428002,0.763119548,0.634803828,Thalassia Hemprichii
44,37.14748775,0.710522941,0.540117103,Halophila Ovalis
45,25.19676777,0.732446327,0.532515187,Halophila Ovalis
46,17.58811275,0.729324931,0.517511047,Halophila Ovalis
47,23.76056985,0.769088144,0.611076087,Thalassia Hemprichii
48,21.20923713,0.795374066,0.670280045,Thalassia Hemprichii
49,37.18250613,0.732893312,0.60649616,Enhalus Acoroides
50,34.87810968,0.766598562,0.634708287,Thalassia Hemprichii
51,25.85903799,0.736684562,0.595890395,Enhalus Acoroides
52,46.96479779,0.734058494,0.642064702,Enhalus Acoroides
53,23.35278799,0.789181442,0.651378217,Thalassia Hemprichii
54,17.58296569,0.728846294,0.511119187,Halophila Ovalis
55,26.51999081,0.786994107,0.662978896,Thalassia Hemprichii
56,33.10029105,0.764914267,0.626920843,Thalassia Hemprichii
57,32.36464461,0.713847488,0.510071943,Halophila Ovalis
58,50.52689951,0.706318822,0.517254538,Halophila Ovalis
59,26.31493566,0.740299134,0.614706481,Enhalus Acoroides
60,19.5694087,0.739374569,0.561143816,Halophila Ovalis
61,31.41752451,0.789272559,0.681545169,Thalassia Hemprichii
62,29.20189951,0.718004105,0.523394372,Halophila Ovalis
63,29.68903186,0.713213548,0.497683261,Halophila Ovalis
64,37.61531863,0.7299087,0.612587995,Enhalus Acoroides
65,28.17679228,0.744217319,0.620609006,Enhalus Acoroides
66,24.19427083,0.721014714,0.537755136,Halophila Ovalis
67,50.52689951,0.706318822,0.517254538,Halophila Ovalis
68,24.75842525,0.794346501,0.674212923,Thalassia Hemprichii
69,26.97480086,0.722629698,0.541805851,Halophila Ovalis
70,36.83400735,0.737323586,0.621571327,Enhalus Acoroides
71,28.65176164,0.740371982,0.629247596,Enhalus Acoroides
72,27.45566789,0.741812042,0.634305317,Enhalus Acoroides
73,24.44581801,0.789711407,0.661083525,Thalassia Hemprichii
74,29.6042739,0.737504393,0.631964361,Enhalus Acoroides
75,45.19258578,0.731395779,0.630946489,Enhalus Acoroides
76,29.47876838,0.791514846,0.666886784,Thalassia Hemprichii
77,25.96488971,0.716995496,0.532723664,Halophila Ovalis
78,50.52689951,0.706318822,0.517254538,Halophila Ovalis
79,23.69001225,0.720621363,0.535519012,Halophila Ovalis
80,28.03345588,0.772728072,0.657536083,Thalassia Hemprichii
81,31.35317096,0.733124179,0.608858319,Enhalus Acoroides
82,30.91758578,0.735186743,0.623741628,Enhalus Acoroides
83,18.73964461,0.752181643,0.565543736,Halophila Ovalis
84,56.17858456,0.729066792,0.611905567,Enhalus Acoroides
85,50.52689951,0.706318822,0.517254538,Halophila Ovalis
86,39.89016544,0.729968218,0.604077501,Enhalus Acoroides
87,23.71639093,0.752564294,0.626449246,Enhalus Acoroides
88,18.43206189,0.723982458,0.501565917,Halophila Ovalis
89,29.64568015,0.717391419,0.525787377,Halophila Ovalis
90,24.26681985,0.720933588,0.538917861,Halophila Ovalis
91,37.59592525,0.731065113,0.611178717,Enhalus Acoroides
92,36.68590686,0.732329786,0.606983082,Enhalus Acoroides
93,18.41242341,0.718961597,0.480383467,Halophila Ovalis
94,25.06911765,0.793834755,0.66520669,Thalassia Hemprichii
95,29.10481005,0.719375853,0.525023079,Halophila Ovalis
96,20.28869485,0.747161322,0.559306062,Halophila Ovalis
97,27.51294424,0.74557571,0.622235766,Enhalus Acoroides
98,56.14307598,0.728872275,0.611920881,Enhalus Acoroides
99,51.32789522,0.763108067,0.630528405,Thalassia Hemprichii
100,28.58765319,0.714741924,0.509883534,Halophila Ovalis
101,51.32428002,0.763119548,0.634803828,Thalassia Hemprichii
102,26.53128064,0.728110019,0.531844553,Halophila Ovalis
103,24.19684436,0.738392098,0.543161023,Halophila Ovalis
104,25.80157782,0.742796055,0.630505175,Enhalus Acoroides
105,21.93319547,0.779590817,0.633552721,Thalassia Hemprichii
106,21.63455882,0.79364659,0.673512741,Thalassia Hemprichii
107,39.64825368,0.72998973,0.611874333,Enhalus Acoroides
108,24.46073836,0.739477309,0.544017624,Halophila Ovalis
109,43.98128064,0.730370973,0.612645066,Enhalus Acoroides
110,29.27389706,0.716668979,0.51733419,Halophila Ovalis
111,46.29589461,0.731508696,0.639146945,Enhalus Acoroides
112,32.39270833,0.781611279,0.664909371,Thalassia Hemprichii
113,29.63802083,0.717160811,0.52221892,Halophila Ovalis
114,24.49963235,0.789798736,0.658164693,Thalassia Hemprichii
115,34.15174632,0.77003618,0.644309633,Thalassia Hemprichii
116,31.85787377,0.738011835,0.645851141,Enhalus Acoroides
117,34.43716299,0.734369118,0.630296713,Enhalus Acoroides
118,21.28795956,0.800405847,0.692833275,Thalassia Hemprichii
119,20.21213235,0.758819643,0.624286453,Enhalus Acoroides
120,24.79306066,0.782573359,0.648748583,Thalassia Hemprichii
121,23.65225184,0.731122809,0.530944811,Halophila Ovalis
122,19.97527574,0.759376394,0.623929489,Enhalus Acoroides
123,25.1254902,0.747930878,0.622122701,Enhalus Acoroides
124,28.33674939,0.736146257,0.623442637,Enhalus Acoroides
125,28.82323836,0.74422482,0.618125937,Enhalus Acoroides
